Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
((A|K+H|B+E+|H*H+L*|G)C+|K+)C+G*,A B C E G H K L,S10 S7 S1,S0 S1 S10 S11 S12 S2 S3 S4 S5 S6 S7 S8 S9,S12 --A--> S3 | S12 --B--> S2 | S12 --G--> S0 | S12 --H--> S11 | S12 --K--> S9 | S3 --C--> S6 | S9 --C--> S7 | S9 --H--> S4 | S9 --K--> S9 | S4 --C--> S6 | S2 --B--> S2 | S2 --E--> S8 | S8 --C--> S6 | S8 --E--> S8 | S11 --C--> S6 | S11 --H--> S11 | S11 --L--> S5 | S5 --C--> S6 | S5 --L--> S5 | S0 --C--> S6 | S6 --C--> S10 | S10 --C--> S10 | S10 --G--> S1 | S7 --C--> S7 | S7 --G--> S1 | S1 --G--> S1,
H+|BCG*EF*J|I+LK,B C E F G H I J K L,S10 S3 S2,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S10 --H--> S10 | S6 --B--> S0 | S6 --H--> S10 | S6 --I--> S9 | S0 --C--> S7 | S7 --E--> S8 | S7 --G--> S4 | S4 --E--> S8 | S4 --G--> S4 | S8 --F--> S5 | S8 --J--> S3 | S5 --F--> S5 | S5 --J--> S3 | S9 --I--> S9 | S9 --L--> S1 | S1 --K--> S2,
BJ+A+GF+|F+L+J*,A B F G J L,S6 S8 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8,S2 --B--> S0 | S2 --F--> S7 | S0 --J--> S4 | S4 --A--> S5 | S4 --J--> S4 | S5 --A--> S5 | S5 --G--> S1 | S1 --F--> S6 | S6 --F--> S6 | S7 --F--> S7 | S7 --L--> S8 | S8 --J--> S3 | S8 --L--> S8 | S3 --J--> S3,
((((I+|G+A+)DB*F+A)AF+))|(I+),A B D F G I,S9 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S9 --D--> S5 | S9 --I--> S9 | S3 --G--> S4 | S3 --I--> S9 | S4 --A--> S8 | S4 --G--> S4 | S8 --A--> S8 | S8 --D--> S5 | S5 --B--> S2 | S5 --F--> S6 | S2 --B--> S2 | S2 --F--> S6 | S6 --A--> S0 | S6 --F--> S6 | S0 --A--> S1 | S1 --F--> S7 | S7 --F--> S7,
((G*)I+E|B+B*H+G*|C+L),B C E G H I L,S1 S9 S4 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S2 --G--> S2 | S2 --I--> S3 | S6 --B--> S7 | S6 --C--> S5 | S6 --G--> S2 | S6 --I--> S3 | S3 --E--> S1 | S3 --I--> S3 | S8 --B--> S8 | S8 --H--> S9 | S7 --B--> S8 | S7 --H--> S9 | S9 --G--> S4 | S9 --H--> S9 | S4 --G--> S4 | S5 --C--> S5 | S5 --L--> S0,
((J|H+E*|K+I*H+)D*)|(J*),D E H I J K,S6 S7 S8 S4 S5 S1 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S6 --H--> S8 | S6 --J--> S7 | S6 --K--> S3 | S7 --D--> S1 | S7 --J--> S2 | S8 --D--> S1 | S8 --E--> S4 | S8 --H--> S8 | S4 --D--> S1 | S4 --E--> S4 | S3 --H--> S5 | S3 --I--> S0 | S3 --K--> S3 | S0 --H--> S5 | S0 --I--> S0 | S5 --D--> S1 | S5 --H--> S5 | S1 --D--> S1 | S2 --J--> S2,
K*J+L*|B+G|L+F*EF,B E F G J K L,S9 S5 S2 S1,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S3 --J--> S9 | S3 --K--> S3 | S7 --B--> S6 | S7 --J--> S9 | S7 --K--> S3 | S7 --L--> S8 | S9 --J--> S9 | S9 --L--> S5 | S5 --L--> S5 | S6 --B--> S6 | S6 --G--> S2 | S8 --E--> S0 | S8 --F--> S4 | S8 --L--> S8 | S4 --E--> S0 | S4 --F--> S4 | S0 --F--> S1,
(((G*)F+|H*)J)B*H*|I+H*,B F G H I J,S6 S5 S1 S7 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --F--> S4 | S0 --G--> S0 | S8 --F--> S4 | S8 --G--> S0 | S8 --H--> S3 | S8 --I--> S7 | S8 --J--> S6 | S4 --F--> S4 | S4 --J--> S6 | S3 --H--> S3 | S3 --J--> S6 | S6 --B--> S5 | S6 --H--> S1 | S5 --B--> S5 | S5 --H--> S1 | S1 --H--> S1 | S7 --H--> S2 | S7 --I--> S7 | S2 --H--> S2,
E+A*BL|JF+,A B E F J L,S1 S5,S0 S1 S2 S3 S4 S5 S6,S6 --A--> S4 | S6 --B--> S0 | S6 --E--> S6 | S3 --E--> S6 | S3 --J--> S2 | S4 --A--> S4 | S4 --B--> S0 | S0 --L--> S1 | S2 --F--> S5 | S5 --F--> S5,
(HI+A*K*J+|E)|(D+),A D E H I J K,S5 S1 S4,S0 S1 S2 S3 S4 S5 S6 S7,S3 --D--> S4 | S3 --E--> S1 | S3 --H--> S0 | S0 --I--> S7 | S7 --A--> S6 | S7 --I--> S7 | S7 --J--> S5 | S7 --K--> S2 | S6 --A--> S6 | S6 --J--> S5 | S6 --K--> S2 | S2 --J--> S5 | S2 --K--> S2 | S5 --J--> S5 | S4 --D--> S4,
(L*D+G*)|(B*),B D G L,S4 S3 S1 S2,S0 S1 S2 S3 S4,S0 --D--> S3 | S0 --L--> S0 | S4 --B--> S2 | S4 --D--> S3 | S4 --L--> S0 | S3 --D--> S3 | S3 --G--> S1 | S1 --G--> S1 | S2 --B--> S2,
(G*L*|A+C+|JE*|H+),A C E G H J L,S6 S7 S3 S5 S4 S1 S2,S0 S1 S2 S3 S4 S5 S6 S7,S6 --G--> S6 | S6 --L--> S3 | S7 --A--> S0 | S7 --G--> S6 | S7 --H--> S2 | S7 --J--> S4 | S7 --L--> S3 | S3 --L--> S3 | S0 --A--> S0 | S0 --C--> S5 | S5 --C--> S5 | S4 --E--> S1 | S1 --E--> S1 | S2 --H--> S2,
(E+|L*C+|FF+G*L)|(E*),C E F G L,S6 S7 S4 S1,S0 S1 S2 S3 S4 S5 S6 S7,S6 --E--> S6 | S7 --C--> S4 | S7 --E--> S6 | S7 --F--> S0 | S7 --L--> S2 | S2 --C--> S4 | S2 --L--> S2 | S4 --C--> S4 | S0 --F--> S5 | S5 --F--> S5 | S5 --G--> S3 | S5 --L--> S1 | S3 --G--> S3 | S3 --L--> S1,
(H+J+|J*A*|G+B+)|(E*),A B E G H J,S7 S5 S6 S3 S4 S0,S0 S1 S2 S3 S4 S5 S6 S7,S1 --H--> S1 | S1 --J--> S5 | S7 --A--> S3 | S7 --E--> S0 | S7 --G--> S2 | S7 --H--> S1 | S7 --J--> S6 | S5 --J--> S5 | S6 --A--> S3 | S6 --J--> S6 | S3 --A--> S3 | S2 --B--> S4 | S2 --G--> S2 | S4 --B--> S4 | S0 --E--> S0,
((D+LEI*)D|C*G*)|(D+),C D E G I L,S6 S7 S1 S5 S4,S0 S1 S2 S3 S4 S5 S6 S7,S6 --D--> S6 | S6 --L--> S0 | S7 --C--> S5 | S7 --D--> S6 | S7 --G--> S4 | S0 --E--> S3 | S3 --D--> S1 | S3 --I--> S2 | S2 --D--> S1 | S2 --I--> S2 | S5 --C--> S5 | S5 --G--> S4 | S4 --G--> S4,
L+|C*JDLA*|BL+D+F|G+,A B C D F G J L,S9 S10 S8 S3 S7,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S9 --L--> S9 | S11 --B--> S2 | S11 --C--> S4 | S11 --G--> S7 | S11 --J--> S0 | S11 --L--> S9 | S4 --C--> S4 | S4 --J--> S0 | S0 --D--> S1 | S1 --L--> S10 | S10 --A--> S8 | S8 --A--> S8 | S2 --L--> S5 | S5 --D--> S6 | S5 --L--> S5 | S6 --D--> S6 | S6 --F--> S3 | S7 --G--> S7,
((C|B*G+KK))|(H+),B C G H K,S1 S2 S5,S0 S1 S2 S3 S4 S5 S6,S6 --B--> S3 | S6 --C--> S1 | S6 --G--> S4 | S6 --H--> S5 | S3 --B--> S3 | S3 --G--> S4 | S4 --G--> S4 | S4 --K--> S0 | S0 --K--> S2 | S5 --H--> S5,
(G*JK+),G J K,S3,S0 S1 S2 S3,S1 --G--> S1 | S1 --J--> S0 | S2 --G--> S1 | S2 --J--> S0 | S0 --K--> S3 | S3 --K--> S3,
(((E*H*B*A|C*)E*)A+),A B C E H,S6 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --A--> S6 | S7 --B--> S0 | S7 --E--> S7 | S7 --H--> S4 | S8 --A--> S6 | S8 --B--> S0 | S8 --C--> S5 | S8 --E--> S7 | S8 --H--> S4 | S4 --A--> S3 | S4 --B--> S0 | S4 --H--> S4 | S0 --A--> S3 | S0 --B--> S0 | S3 --A--> S2 | S3 --E--> S1 | S6 --A--> S2 | S6 --E--> S1 | S5 --A--> S2 | S5 --C--> S5 | S5 --E--> S1 | S1 --A--> S2 | S1 --E--> S1 | S2 --A--> S2,
K*KK*D+GB*,B D G K,S2 S0,S0 S1 S2 S3 S4 S5,S5 --D--> S3 | S5 --K--> S5 | S4 --D--> S3 | S4 --K--> S5 | S1 --K--> S4 | S3 --D--> S3 | S3 --G--> S2 | S2 --B--> S0 | S0 --B--> S0,
(G*|KC+C*FA+)|(B+),A B C F G K,S2 S6 S4 S3,S0 S1 S2 S3 S4 S5 S6 S7,S2 --G--> S2 | S6 --B--> S3 | S6 --G--> S2 | S6 --K--> S0 | S0 --C--> S5 | S7 --C--> S7 | S7 --F--> S1 | S5 --C--> S7 | S5 --F--> S1 | S1 --A--> S4 | S4 --A--> S4 | S3 --B--> S3,
K+K+B*EA*,A B E K,S3 S1,S0 S1 S2 S3 S4 S5,S0 --K--> S4 | S4 --K--> S5 | S5 --B--> S2 | S5 --E--> S3 | S5 --K--> S5 | S2 --B--> S2 | S2 --E--> S3 | S3 --A--> S1 | S1 --A--> S1,
G*C+G+|G+H*CK+D|I+,C D G H I K,S6 S1 S5,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S9 --C--> S7 | S9 --G--> S9 | S9 --H--> S2 | S8 --C--> S3 | S8 --G--> S9 | S8 --I--> S5 | S3 --C--> S3 | S3 --G--> S6 | S7 --C--> S3 | S7 --G--> S6 | S7 --K--> S4 | S6 --G--> S6 | S2 --C--> S0 | S2 --H--> S2 | S0 --K--> S4 | S4 --D--> S1 | S4 --K--> S4 | S5 --I--> S5,
((B|CK*|K+K+)C+)|(K),B C K,S5 S1,S0 S1 S2 S3 S4 S5 S6,S3 --B--> S0 | S3 --C--> S4 | S3 --K--> S5 | S0 --C--> S1 | S4 --C--> S1 | S4 --K--> S2 | S2 --C--> S1 | S2 --K--> S2 | S6 --C--> S1 | S6 --K--> S6 | S5 --K--> S6 | S1 --C--> S1,
((E+|G+D+L*K+|D*))|(D+),D E G K L,S2 S6 S3 S5,S0 S1 S2 S3 S4 S5 S6,S2 --E--> S2 | S6 --D--> S5 | S6 --E--> S2 | S6 --G--> S1 | S1 --D--> S4 | S1 --G--> S1 | S4 --D--> S4 | S4 --K--> S3 | S4 --L--> S0 | S0 --K--> S3 | S0 --L--> S0 | S3 --K--> S3 | S5 --D--> S5,
((A*)IK*|D+D*L*|H*H*C+),A C D H I K L,S4 S1 S7 S6 S2 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --A--> S0 | S0 --I--> S4 | S8 --A--> S0 | S8 --C--> S3 | S8 --D--> S6 | S8 --H--> S5 | S8 --I--> S4 | S4 --K--> S1 | S1 --K--> S1 | S7 --D--> S7 | S7 --L--> S2 | S6 --D--> S7 | S6 --L--> S2 | S2 --L--> S2 | S5 --C--> S3 | S5 --H--> S5 | S3 --C--> S3,
(((D+I+A*H*|E*)H+)A)|(H),A D E H I,S4 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S1 --D--> S1 | S1 --I--> S8 | S6 --D--> S1 | S6 --E--> S2 | S6 --H--> S4 | S8 --A--> S5 | S8 --H--> S7 | S8 --I--> S8 | S5 --A--> S5 | S5 --H--> S7 | S7 --A--> S0 | S7 --H--> S7 | S2 --E--> S2 | S2 --H--> S3 | S3 --A--> S0 | S3 --H--> S3 | S4 --A--> S0 | S4 --H--> S3,
((J*K+B|C+GCL*A*))|(G+),A B C G J K L,S1 S9 S8 S5 S6,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S2 --J--> S2 | S2 --K--> S3 | S7 --C--> S4 | S7 --G--> S6 | S7 --J--> S2 | S7 --K--> S3 | S3 --B--> S1 | S3 --K--> S3 | S4 --C--> S4 | S4 --G--> S0 | S0 --C--> S9 | S9 --A--> S5 | S9 --L--> S8 | S8 --A--> S5 | S8 --L--> S8 | S5 --A--> S5 | S6 --G--> S6,
(KJ)G+,G J K,S3,S0 S1 S2 S3,S0 --K--> S1 | S1 --J--> S2 | S2 --G--> S3 | S3 --G--> S3,
((((I*|C*I+)L)B|H*)C|E*D*),B C D E H I L,S10 S6 S1 S8 S4,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S9 --I--> S9 | S9 --L--> S0 | S10 --C--> S6 | S10 --D--> S4 | S10 --E--> S8 | S10 --H--> S5 | S10 --I--> S9 | S10 --L--> S0 | S3 --C--> S3 | S3 --I--> S7 | S6 --C--> S3 | S6 --I--> S7 | S7 --I--> S7 | S7 --L--> S0 | S0 --B--> S2 | S2 --C--> S1 | S5 --C--> S1 | S5 --H--> S5 | S8 --D--> S4 | S8 --E--> S8 | S4 --D--> S4,
(IB+|H)K+L|EL,B E H I K L,S1 S3,S0 S1 S2 S3 S4 S5 S6 S7,S5 --E--> S2 | S5 --H--> S4 | S5 --I--> S0 | S0 --B--> S7 | S7 --B--> S7 | S7 --K--> S6 | S4 --K--> S6 | S6 --K--> S6 | S6 --L--> S1 | S2 --L--> S3,
(LC*|F*)K*CA|E,A C E F K L,S1 S2,S0 S1 S2 S3 S4 S5 S6 S7,S7 --C--> S0 | S7 --E--> S2 | S7 --F--> S4 | S7 --K--> S3 | S7 --L--> S5 | S5 --C--> S6 | S5 --K--> S3 | S6 --A--> S1 | S6 --C--> S6 | S6 --K--> S3 | S4 --C--> S0 | S4 --F--> S4 | S4 --K--> S3 | S3 --C--> S0 | S3 --K--> S3 | S0 --A--> S1,
((H+|I*)G+K*E*)|(K),E G H I K,S6 S4 S1 S0,S0 S1 S2 S3 S4 S5 S6,S3 --G--> S6 | S3 --H--> S3 | S5 --G--> S6 | S5 --H--> S3 | S5 --I--> S2 | S5 --K--> S0 | S2 --G--> S6 | S2 --I--> S2 | S6 --E--> S1 | S6 --G--> S6 | S6 --K--> S4 | S4 --E--> S1 | S4 --K--> S4 | S1 --E--> S1,
K+H+C|L*L+|A*C+,A C H K L,S0 S5 S4,S0 S1 S2 S3 S4 S5 S6,S2 --H--> S3 | S2 --K--> S2 | S6 --A--> S1 | S6 --C--> S4 | S6 --K--> S2 | S6 --L--> S5 | S3 --C--> S0 | S3 --H--> S3 | S5 --L--> S5 | S1 --A--> S1 | S1 --C--> S4 | S4 --C--> S4,
(((DG+|E+J*)CA+HE+))|(B),A B C D E G H J,S7 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S4 --B--> S3 | S4 --D--> S0 | S4 --E--> S9 | S0 --G--> S8 | S8 --C--> S1 | S8 --G--> S8 | S9 --C--> S1 | S9 --E--> S9 | S9 --J--> S5 | S5 --C--> S1 | S5 --J--> S5 | S1 --A--> S6 | S6 --A--> S6 | S6 --H--> S2 | S2 --E--> S7 | S7 --E--> S7,
((C+)C|J+)L,C J L,S0,S0 S1 S2 S3 S4,S2 --C--> S4 | S4 --C--> S4 | S4 --L--> S0 | S1 --C--> S2 | S1 --J--> S3 | S3 --J--> S3 | S3 --L--> S0,
(F+BE+H*),B E F H,S4 S2,S0 S1 S2 S3 S4,S0 --F--> S3 | S3 --B--> S1 | S3 --F--> S3 | S1 --E--> S4 | S4 --E--> S4 | S4 --H--> S2 | S2 --H--> S2,
C+D+J*F*CA+|F+,A C D F J,S4 S5,S0 S1 S2 S3 S4 S5 S6 S7,S3 --C--> S3 | S3 --D--> S7 | S1 --C--> S3 | S1 --F--> S5 | S7 --C--> S0 | S7 --D--> S7 | S7 --F--> S2 | S7 --J--> S6 | S6 --C--> S0 | S6 --F--> S2 | S6 --J--> S6 | S2 --C--> S0 | S2 --F--> S2 | S0 --A--> S4 | S4 --A--> S4 | S5 --F--> S5,
H*|L+K+G+EJ|BD+A,A B D E G H J K L,S4 S9 S3 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S4 --H--> S4 | S9 --B--> S1 | S9 --H--> S4 | S9 --L--> S5 | S5 --K--> S6 | S5 --L--> S5 | S6 --G--> S7 | S6 --K--> S6 | S7 --E--> S0 | S7 --G--> S7 | S0 --J--> S3 | S1 --D--> S8 | S8 --A--> S2 | S8 --D--> S8,
((B+H)H+A+)J+GF*|G+,A B F G H J,S7 S2 S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S3 --B--> S3 | S3 --H--> S0 | S1 --B--> S3 | S1 --G--> S8 | S0 --H--> S4 | S4 --A--> S5 | S4 --H--> S4 | S5 --A--> S5 | S5 --J--> S6 | S6 --G--> S7 | S6 --J--> S6 | S7 --F--> S2 | S2 --F--> S2 | S8 --G--> S8,
((I+L+D|I+K|B*GE+L*|L*))|(A),A B D E G I K L,S10 S4 S5 S9 S7 S6 S1,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S8 --I--> S8 | S8 --K--> S5 | S8 --L--> S3 | S10 --A--> S1 | S10 --B--> S2 | S10 --G--> S0 | S10 --I--> S8 | S10 --L--> S6 | S3 --D--> S4 | S3 --L--> S3 | S2 --B--> S2 | S2 --G--> S0 | S0 --E--> S9 | S9 --E--> S9 | S9 --L--> S7 | S7 --L--> S7 | S6 --L--> S6,
(C+|A)D+E,A C D E,S0,S0 S1 S2 S3 S4,S4 --C--> S4 | S4 --D--> S3 | S1 --A--> S2 | S1 --C--> S4 | S2 --D--> S3 | S3 --D--> S3 | S3 --E--> S0,
I*E+|EB+I,B E I,S5 S2 S0,S0 S1 S2 S3 S4 S5,S1 --E--> S2 | S1 --I--> S1 | S4 --E--> S5 | S4 --I--> S1 | S5 --B--> S3 | S5 --E--> S2 | S2 --E--> S2 | S3 --B--> S3 | S3 --I--> S0,
(((H+B*|G*)II+))|(F),B F G H I,S4 S1,S0 S1 S2 S3 S4 S5 S6,S5 --B--> S2 | S5 --H--> S5 | S5 --I--> S0 | S6 --F--> S1 | S6 --G--> S3 | S6 --H--> S5 | S6 --I--> S0 | S2 --B--> S2 | S2 --I--> S0 | S3 --G--> S3 | S3 --I--> S0 | S0 --I--> S4 | S4 --I--> S4,
((BK*E*|E*H)I*|B+BE|HL)|(G),B E G H I K L,S11 S10 S7 S8 S6 S4 S3 S1 S0,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S9 --B--> S11 | S9 --E--> S2 | S9 --G--> S0 | S9 --H--> S8 | S11 --B--> S5 | S11 --E--> S7 | S11 --I--> S4 | S11 --K--> S10 | S10 --E--> S7 | S10 --I--> S4 | S10 --K--> S10 | S7 --E--> S7 | S7 --I--> S4 | S2 --E--> S2 | S2 --H--> S6 | S8 --I--> S4 | S8 --L--> S1 | S6 --I--> S4 | S4 --I--> S4 | S5 --B--> S5 | S5 --E--> S3,
(E*)JLJ,E J L,S0,S0 S1 S2 S3 S4,S3 --E--> S3 | S3 --J--> S1 | S4 --E--> S3 | S4 --J--> S1 | S1 --L--> S2 | S2 --J--> S0,
((AD|A+)F*F*BJ|J+J|JA*)|(C),A B C D F J,S2 S7 S8 S3 S1,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S5 --A--> S10 | S5 --C--> S1 | S5 --J--> S8 | S10 --A--> S9 | S10 --B--> S0 | S10 --D--> S6 | S10 --F--> S4 | S6 --B--> S0 | S6 --F--> S4 | S9 --A--> S9 | S9 --B--> S0 | S9 --F--> S4 | S4 --B--> S0 | S4 --F--> S4 | S0 --J--> S2 | S7 --J--> S7 | S8 --A--> S3 | S8 --J--> S7 | S3 --A--> S3,
(((E+)G|AA*AH*|IG*)GA|K*),A E G H I K,S9 S1 S3,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S4 --E--> S4 | S4 --G--> S2 | S9 --A--> S5 | S9 --E--> S4 | S9 --I--> S7 | S9 --K--> S3 | S2 --G--> S0 | S5 --A--> S10 | S10 --A--> S10 | S10 --G--> S0 | S10 --H--> S6 | S6 --G--> S0 | S6 --H--> S6 | S7 --G--> S8 | S8 --A--> S1 | S8 --G--> S8 | S0 --A--> S1 | S3 --K--> S3,
(K+B+JK+A*GA*J+)|(E*),A B E G J K,S8 S7 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S4 --B--> S5 | S4 --K--> S4 | S8 --E--> S3 | S8 --K--> S4 | S5 --B--> S5 | S5 --J--> S0 | S0 --K--> S9 | S9 --A--> S1 | S9 --G--> S6 | S9 --K--> S9 | S1 --A--> S1 | S1 --G--> S6 | S6 --A--> S2 | S6 --J--> S7 | S2 --A--> S2 | S2 --J--> S7 | S7 --J--> S7 | S3 --E--> S3,
(F+D+)E*|B+D+|J+A+|C+,A B C D E F J,S8 S4 S7 S5 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --D--> S8 | S0 --F--> S0 | S6 --B--> S1 | S6 --C--> S3 | S6 --F--> S0 | S6 --J--> S2 | S8 --D--> S8 | S8 --E--> S4 | S4 --E--> S4 | S1 --B--> S1 | S1 --D--> S7 | S7 --D--> S7 | S2 --A--> S5 | S2 --J--> S2 | S5 --A--> S5 | S3 --C--> S3,
((((I+F*|A+)B*)C+D)E*|I*D*)E,A B C D E F I,S5 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S9 --B--> S1 | S9 --C--> S2 | S9 --D--> S3 | S9 --E--> S0 | S9 --F--> S6 | S9 --I--> S9 | S8 --A--> S7 | S8 --D--> S3 | S8 --E--> S0 | S8 --I--> S9 | S6 --B--> S1 | S6 --C--> S2 | S6 --F--> S6 | S7 --A--> S7 | S7 --B--> S1 | S7 --C--> S2 | S1 --B--> S1 | S1 --C--> S2 | S2 --C--> S2 | S2 --D--> S4 | S4 --E--> S5 | S5 --E--> S5 | S3 --D--> S3 | S3 --E--> S0,
((F*I|J*)G*C*|HG*|A*)E+|D+C,A C D E F G H I J,S3 S0,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S1 --F--> S1 | S1 --I--> S9 | S11 --A--> S2 | S11 --C--> S5 | S11 --D--> S4 | S11 --E--> S3 | S11 --F--> S1 | S11 --G--> S8 | S11 --H--> S7 | S11 --I--> S9 | S11 --J--> S10 | S9 --C--> S5 | S9 --E--> S3 | S9 --G--> S8 | S10 --C--> S5 | S10 --E--> S3 | S10 --G--> S8 | S10 --J--> S10 | S8 --C--> S5 | S8 --E--> S3 | S8 --G--> S8 | S5 --C--> S5 | S5 --E--> S3 | S7 --E--> S3 | S7 --G--> S6 | S6 --E--> S3 | S6 --G--> S6 | S2 --A--> S2 | S2 --E--> S3 | S3 --E--> S3 | S4 --C--> S0 | S4 --D--> S4,
(F|H+)EJI*K+I*,E F H I J K,S7 S3,S0 S1 S2 S3 S4 S5 S6 S7,S1 --F--> S2 | S1 --H--> S6 | S2 --E--> S0 | S6 --E--> S0 | S6 --H--> S6 | S0 --J--> S5 | S5 --I--> S4 | S5 --K--> S7 | S4 --I--> S4 | S4 --K--> S7 | S7 --I--> S3 | S7 --K--> S7 | S3 --I--> S3,
((E+C|D*)A+)|(J+),A C D E J,S3 S4,S0 S1 S2 S3 S4 S5,S1 --C--> S0 | S1 --E--> S1 | S5 --A--> S3 | S5 --D--> S2 | S5 --E--> S1 | S5 --J--> S4 | S0 --A--> S3 | S2 --A--> S3 | S2 --D--> S2 | S3 --A--> S3 | S4 --J--> S4,
D*|K*LF*C|G+H*|H,C D F G H K L,S6 S8 S3 S7 S5 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S6 --D--> S6 | S8 --D--> S6 | S8 --G--> S7 | S8 --H--> S0 | S8 --K--> S1 | S8 --L--> S4 | S1 --K--> S1 | S1 --L--> S4 | S4 --C--> S3 | S4 --F--> S2 | S2 --C--> S3 | S2 --F--> S2 | S7 --G--> S7 | S7 --H--> S5 | S5 --H--> S5,
((E+I*)A+)|(I+),A E I,S2 S3,S0 S1 S2 S3 S4,S4 --A--> S2 | S4 --E--> S4 | S4 --I--> S1 | S0 --E--> S4 | S0 --I--> S3 | S1 --A--> S2 | S1 --I--> S1 | S2 --A--> S2 | S3 --I--> S3,
((A|E*)G|C*)D*J+D,A C D E G J,S0,S0 S1 S2 S3 S4 S5 S6 S7,S7 --A--> S1 | S7 --C--> S6 | S7 --D--> S2 | S7 --E--> S3 | S7 --G--> S5 | S7 --J--> S4 | S1 --G--> S5 | S3 --E--> S3 | S3 --G--> S5 | S5 --D--> S2 | S5 --J--> S4 | S6 --C--> S6 | S6 --D--> S2 | S6 --J--> S4 | S2 --D--> S2 | S2 --J--> S4 | S4 --D--> S0 | S4 --J--> S4,
K*K|GB*A*K*,A B G K,S1 S5 S4 S3 S0,S0 S1 S2 S3 S4 S5,S1 --K--> S1 | S2 --G--> S5 | S2 --K--> S1 | S5 --A--> S3 | S5 --B--> S4 | S5 --K--> S0 | S4 --A--> S3 | S4 --B--> S4 | S4 --K--> S0 | S3 --A--> S3 | S3 --K--> S0 | S0 --K--> S0,
(H|J*F+F+|C*L+C*|L+I+|B*)|(L),B C F H I J L,S11 S4 S8 S10 S9 S7 S5 S6 S3,S0 S1 S10 S11 S2 S3 S4 S5 S6 S7 S8 S9,S11 --B--> S3 | S11 --C--> S1 | S11 --F--> S2 | S11 --H--> S4 | S11 --J--> S0 | S11 --L--> S10 | S0 --F--> S2 | S0 --J--> S0 | S2 --F--> S8 | S8 --F--> S8 | S1 --C--> S1 | S1 --L--> S7 | S10 --C--> S5 | S10 --I--> S6 | S10 --L--> S9 | S9 --C--> S5 | S9 --I--> S6 | S9 --L--> S9 | S7 --C--> S5 | S7 --L--> S7 | S5 --C--> S5 | S6 --I--> S6 | S3 --B--> S3,
((((H+C|H+)I+)A*|L*)G+D*|CJ+I|D+)|(F*),A C D F G H I J L,S12 S10 S7 S2 S8 S3,S0 S1 S10 S11 S12 S2 S3 S4 S5 S6 S7 S8 S9,S11 --C--> S1 | S11 --H--> S11 | S11 --I--> S9 | S12 --C--> S0 | S12 --D--> S8 | S12 --F--> S3 | S12 --G--> S10 | S12 --H--> S11 | S12 --L--> S5 | S1 --I--> S9 | S9 --A--> S4 | S9 --G--> S10 | S9 --I--> S9 | S4 --A--> S4 | S4 --G--> S10 | S5 --G--> S10 | S5 --L--> S5 | S10 --D--> S7 | S10 --G--> S10 | S7 --D--> S7 | S0 --J--> S6 | S6 --I--> S2 | S6 --J--> S6 | S8 --D--> S8 | S3 --F--> S3,
((J|HE+D*J+)B*|A+A+|A+),A B D E H J,S4 S6 S2 S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S3 --A--> S7 | S3 --H--> S0 | S3 --J--> S4 | S4 --B--> S2 | S0 --E--> S5 | S5 --D--> S1 | S5 --E--> S5 | S5 --J--> S6 | S1 --D--> S1 | S1 --J--> S6 | S6 --B--> S2 | S6 --J--> S6 | S2 --B--> S2 | S8 --A--> S8 | S7 --A--> S8,
IL+D*,D I L,S3 S2,S0 S1 S2 S3,S0 --I--> S1 | S1 --L--> S3 | S3 --D--> S2 | S3 --L--> S3 | S2 --D--> S2,
