Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
(?:A*B*B+A?D*)A*|B*A?G*,,,,,Línea 829: ValueError: '?' inválido.
[KIJFC],C F I J K [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --K--> S3 | S3 --I--> S4 | S4 --J--> S5 | S5 --F--> S6 | S6 --C--> S7 | S7 --]--> S1,
(?:(?:KKE+)DC+|B+)G+,,,,,Línea 831: ValueError: '?' inválido.
(?:(?:(?:C)C+H|J+)H?)D?,,,,,Línea 832: ValueError: '?' inválido.
[BDJL]+,B D J L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --B--> S2 | S2 --D--> S3 | S3 --J--> S4 | S4 --L--> S5 | S5 --]--> S6 | S6 --]--> S6,
I+B|C*E?|I?L?,B C E I L,S5 S6 S0 S4 S2 S1,S0 S1 S2 S3 S4 S5 S6,S3 --B--> S0 | S3 --I--> S3 | S5 --B--> S0 | S5 --I--> S3 | S5 --L--> S1 | S6 --C--> S4 | S6 --E--> S2 | S6 --I--> S5 | S6 --L--> S1 | S4 --C--> S4 | S4 --E--> S2,
[BKGIEA]*,A B E G I K [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --B--> S2 | S2 --K--> S3 | S3 --G--> S4 | S4 --I--> S5 | S5 --E--> S6 | S6 --A--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:(?:(?:G|G+)H?L*)LL*A*E|A)I,,,,,Línea 836: ValueError: '?' inválido.
E*C?I*|G*A,A C E G I,S4 S5 S3 S1 S0,S0 S1 S2 S3 S4 S5,S4 --C--> S3 | S4 --E--> S4 | S4 --I--> S1 | S5 --A--> S0 | S5 --C--> S3 | S5 --E--> S4 | S5 --G--> S2 | S5 --I--> S1 | S3 --I--> S1 | S1 --I--> S1 | S2 --A--> S0 | S2 --G--> S2,
[CGFBL]?,B C F G L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --C--> S2 | S2 --G--> S3 | S3 --F--> S4 | S4 --B--> S5 | S5 --L--> S7 | S7 --]--> S6,
(?:G)B*|LKI|B*,,,,,Línea 839: ValueError: '?' inválido.
[KDGEFL],D E F G K L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --K--> S3 | S3 --D--> S4 | S4 --G--> S5 | S5 --E--> S6 | S6 --F--> S7 | S7 --L--> S8 | S8 --]--> S1,
K+B?D*|DK+EIJ,B D E I J K,S8 S7 S5 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8,S8 --B--> S7 | S8 --D--> S5 | S8 --K--> S8 | S4 --D--> S0 | S4 --K--> S8 | S7 --D--> S5 | S5 --D--> S5 | S0 --K--> S6 | S6 --E--> S1 | S6 --K--> S6 | S1 --I--> S2 | S2 --J--> S3,
J+I*D?KJ?I?|BE*,B D E I J K,S7 S5 S2 S4 S3,S0 S1 S2 S3 S4 S5 S6 S7 S8,S8 --D--> S1 | S8 --I--> S6 | S8 --J--> S8 | S8 --K--> S7 | S0 --B--> S4 | S0 --J--> S8 | S6 --D--> S1 | S6 --I--> S6 | S6 --K--> S7 | S1 --K--> S7 | S7 --I--> S2 | S7 --J--> S5 | S5 --I--> S2 | S4 --E--> S3 | S3 --E--> S3,
[IGJLF]+,F G I J L [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --I--> S2 | S2 --G--> S3 | S3 --J--> S4 | S4 --L--> S5 | S5 --F--> S6 | S6 --]--> S7 | S7 --]--> S7,
(?:L+|F)KC+C,,,,,Línea 844: ValueError: '?' inválido.
(?:L*A|B*C*)A?FD*A+I*|L?,,,,,Línea 845: ValueError: '?' inválido.
(?:(?:(?:I*H?)H+J+F+)I*|D?F?),,,,,Línea 846: ValueError: '?' inválido.
[GFE]?,E F G [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --G--> S2 | S2 --F--> S3 | S3 --E--> S5 | S5 --]--> S4,
[LKJB],B J K L [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --L--> S3 | S3 --K--> S4 | S4 --J--> S5 | S5 --B--> S6 | S6 --]--> S1,
[HGLKJI]+,G H I J K L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --H--> S2 | S2 --G--> S3 | S3 --L--> S4 | S4 --K--> S5 | S5 --J--> S6 | S6 --I--> S7 | S7 --]--> S8 | S8 --]--> S8,
[CHAJ],A C H J [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --C--> S3 | S3 --H--> S4 | S4 --A--> S5 | S5 --J--> S6 | S6 --]--> S1,
F+B+|A*D?|I?K*|E,A B D E F I K,S7 S4 S6 S2 S5 S3 S0,S0 S1 S2 S3 S4 S5 S6 S7,S1 --B--> S4 | S1 --F--> S1 | S7 --A--> S6 | S7 --D--> S2 | S7 --E--> S0 | S7 --F--> S1 | S7 --I--> S5 | S7 --K--> S3 | S4 --B--> S4 | S6 --A--> S6 | S6 --D--> S2 | S5 --K--> S3 | S3 --K--> S3,
(?:F*I+|K+E?)E?I|D?,,,,,Línea 852: ValueError: '?' inválido.
(?:(?:C?|KK*G+)I*EK+I+|A),,,,,Línea 853: ValueError: '?' inválido.
(?:HI|D?I*|D*C*|B+E+)HG?,,,,,Línea 854: ValueError: '?' inválido.
(?:(?:F?)IE|A?L)H,,,,,Línea 855: ValueError: '?' inválido.
(?:FF*B+),,,,,Línea 856: ValueError: '?' inválido.
[HFAEGI]?,A E F G H I [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --H--> S2 | S2 --F--> S3 | S3 --A--> S4 | S4 --E--> S5 | S5 --G--> S6 | S6 --I--> S8 | S8 --]--> S7,
(?:(?:D)D|J+)I?|GF?G+|K*A*F?|H?,,,,,Línea 858: ValueError: '?' inválido.
(?:K*|E?FD?B),,,,,Línea 859: ValueError: '?' inválido.
E*G+AG,A E G,S0,S0 S1 S2 S3 S4,S2 --E--> S2 | S2 --G--> S4 | S3 --E--> S2 | S3 --G--> S4 | S4 --A--> S1 | S4 --G--> S4 | S1 --G--> S0,
(?:(?:L+L*A|I+)L+|F*A?C?),,,,,Línea 861: ValueError: '?' inválido.
[LIHBDG]*,B D G H I L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --L--> S2 | S2 --I--> S3 | S3 --H--> S4 | S4 --B--> S5 | S5 --D--> S6 | S6 --G--> S8 | S8 --]--> S7 | S7 --]--> S7,
[DKA]*,A D K [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --D--> S2 | S2 --K--> S3 | S3 --A--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:(?:B+L?|K)F*D+I*B)G*I,,,,,Línea 864: ValueError: '?' inválido.
B+I*IC*C?|A*L,A B C I L,S5 S4 S0,S0 S1 S2 S3 S4 S5,S3 --B--> S3 | S3 --I--> S5 | S2 --A--> S1 | S2 --B--> S3 | S2 --L--> S0 | S5 --C--> S4 | S5 --I--> S5 | S4 --C--> S4 | S1 --A--> S1 | S1 --L--> S0,
(?:(?:J?|B+)B|J+)K?|D?G*D*|H+,,,,,Línea 866: ValueError: '?' inválido.
(?:(?:E|H+)L*D*E)F?,,,,,Línea 867: ValueError: '?' inválido.
(?:D?I*)J?E*G+E?|B+,,,,,Línea 868: ValueError: '?' inválido.
G+CI,C G I,S1,S0 S1 S2 S3,S0 --G--> S3 | S3 --C--> S2 | S3 --G--> S3 | S2 --I--> S1,
[DCG]?,C D G [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --D--> S2 | S2 --C--> S3 | S3 --G--> S5 | S5 --]--> S4,
[AHIF]?,A F H I [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --A--> S2 | S2 --H--> S3 | S3 --I--> S4 | S4 --F--> S6 | S6 --]--> S5,
B?A*|E+K+|K*E+,A B E K,S6 S4 S1 S5 S3 S2,S0 S1 S2 S3 S4 S5 S6,S6 --A--> S1 | S6 --B--> S4 | S6 --E--> S5 | S6 --K--> S0 | S4 --A--> S1 | S1 --A--> S1 | S5 --E--> S5 | S5 --K--> S3 | S3 --K--> S3 | S0 --E--> S2 | S0 --K--> S0 | S2 --E--> S2,
(?:J*K+H*|C?)E?J+K?|A+,,,,,Línea 873: ValueError: '?' inválido.
F?L?E+,E F L,S1,S0 S1 S2 S3,S3 --E--> S1 | S3 --F--> S2 | S3 --L--> S0 | S2 --E--> S1 | S2 --L--> S0 | S0 --E--> S1 | S1 --E--> S1,
(?:H?|H?L|B+)E?L|C+,,,,,Línea 875: ValueError: '?' inválido.
[HJLKCG]?,C G H J K L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --H--> S2 | S2 --J--> S3 | S3 --L--> S4 | S4 --K--> S5 | S5 --C--> S6 | S6 --G--> S8 | S8 --]--> S7,
[BIAL]+,A B I L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --B--> S2 | S2 --I--> S3 | S3 --A--> S4 | S4 --L--> S5 | S5 --]--> S6 | S6 --]--> S6,
(?:(?:K*)H*|F?D?|I?E?C*H+H+|JE*),,,,,Línea 878: ValueError: '?' inválido.
[LFBHG]+,B F G H L [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --L--> S2 | S2 --F--> S3 | S3 --B--> S4 | S4 --H--> S5 | S5 --G--> S6 | S6 --]--> S7 | S7 --]--> S7,
[CBD]*,B C D [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --C--> S2 | S2 --B--> S3 | S3 --D--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:(?:(?:GK+|D+)I?J?)D*|A+I*G+D|H*),,,,,Línea 881: ValueError: '?' inválido.
J*J*G?|I,G I J,S2 S3 S1 S0,S0 S1 S2 S3,S2 --G--> S1 | S2 --J--> S2 | S3 --G--> S1 | S3 --I--> S0 | S3 --J--> S2,
J+C+|FBH?|G*F|L?C?|B+,B C F G H J L,S10 S7 S5 S9 S6 S1 S8 S2 S4,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S3 --C--> S7 | S3 --J--> S3 | S10 --B--> S4 | S10 --C--> S2 | S10 --F--> S5 | S10 --G--> S0 | S10 --J--> S3 | S10 --L--> S8 | S7 --C--> S7 | S5 --B--> S9 | S9 --H--> S6 | S0 --F--> S1 | S0 --G--> S0 | S8 --C--> S2 | S4 --B--> S4,
(?:(?:(?:H*F+E+)G?)H?F?)F?,,,,,Línea 884: ValueError: '?' inválido.
(?:J+)D*E?|A+,,,,,Línea 885: ValueError: '?' inválido.
(?:(?:J+C*|I+)C|H+GI?D*|F+)B*C*,,,,,Línea 886: ValueError: '?' inválido.
F?|FG*C?A+LE*,A C E F G L,S4 S6 S3 S1,S0 S1 S2 S3 S4 S5 S6,S4 --F--> S6 | S6 --A--> S2 | S6 --C--> S0 | S6 --G--> S5 | S5 --A--> S2 | S5 --C--> S0 | S5 --G--> S5 | S0 --A--> S2 | S2 --A--> S2 | S2 --L--> S3 | S3 --E--> S1 | S1 --E--> S1,
(?:C+B?H*|K*)I+GA+,,,,,Línea 888: ValueError: '?' inválido.
[ILBEH],B E H I L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --I--> S3 | S3 --L--> S4 | S4 --B--> S5 | S5 --E--> S6 | S6 --H--> S7 | S7 --]--> S1,
(?:B*KG?J?H|FB*)B+A+|A?,,,,,Línea 890: ValueError: '?' inválido.
(?:C*G?)JE|E+E+B*,,,,,Línea 891: ValueError: '?' inválido.
(?:(?:(?:B+L?|L*J+)C+|GC*|B*)H?)J+|KE,,,,,Línea 892: ValueError: '?' inválido.
[BILE]*,B E I L [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --B--> S2 | S2 --I--> S3 | S3 --L--> S4 | S4 --E--> S6 | S6 --]--> S5 | S5 --]--> S5,
(?:JK?|L?L?|KF)H,,,,,Línea 894: ValueError: '?' inválido.
L*C*|E*H+B+|B?,B C E H L,S5 S6 S2 S4 S0,S0 S1 S2 S3 S4 S5 S6,S5 --C--> S2 | S5 --L--> S5 | S6 --B--> S0 | S6 --C--> S2 | S6 --E--> S1 | S6 --H--> S3 | S6 --L--> S5 | S2 --C--> S2 | S1 --E--> S1 | S1 --H--> S3 | S3 --B--> S4 | S3 --H--> S3 | S4 --B--> S4,
[GLKIJ]?,G I J K L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --G--> S2 | S2 --L--> S3 | S3 --K--> S4 | S4 --I--> S5 | S5 --J--> S7 | S7 --]--> S6,
(?:(?:(?:F?|CB?C+B+|J*L*)J?|H+)K?)C?|E+,,,,,Línea 897: ValueError: '?' inválido.
[ALHDFJ],A D F H J L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --A--> S3 | S3 --L--> S4 | S4 --H--> S5 | S5 --D--> S6 | S6 --F--> S7 | S7 --J--> S8 | S8 --]--> S1,
[IBD]*,B D I [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --I--> S2 | S2 --B--> S3 | S3 --D--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:(?:(?:J+D?)K?L?)K+|H?D*),,,,,Línea 900: ValueError: '?' inválido.
[FIE],E F I [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --F--> S3 | S3 --I--> S4 | S4 --E--> S5 | S5 --]--> S1,
AB*E?|L*C+,A B C E L,S5 S4 S0 S2,S0 S1 S2 S3 S4 S5,S3 --A--> S5 | S3 --C--> S2 | S3 --L--> S1 | S5 --B--> S4 | S5 --E--> S0 | S4 --B--> S4 | S4 --E--> S0 | S1 --C--> S2 | S1 --L--> S1 | S2 --C--> S2,
D*B*|J*B+J*E?|E*,B D E J,S4 S7 S8 S3 S6 S5 S1 S2,S0 S1 S2 S3 S4 S5 S6 S7 S8,S4 --B--> S3 | S4 --D--> S4 | S7 --B--> S8 | S7 --D--> S4 | S7 --E--> S2 | S7 --J--> S0 | S8 --B--> S8 | S8 --E--> S1 | S8 --J--> S5 | S3 --B--> S3 | S0 --B--> S6 | S0 --J--> S0 | S6 --B--> S6 | S6 --E--> S1 | S6 --J--> S5 | S5 --E--> S1 | S5 --J--> S5 | S2 --E--> S2,
[AHKLFE]+,A E F H K L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --A--> S2 | S2 --H--> S3 | S3 --K--> S4 | S4 --L--> S5 | S5 --F--> S6 | S6 --E--> S7 | S7 --]--> S8 | S8 --]--> S8,
J+LH*|D*B,B D H J L,S4 S1 S0,S0 S1 S2 S3 S4 S5,S3 --J--> S3 | S3 --L--> S4 | S5 --B--> S0 | S5 --D--> S2 | S5 --J--> S3 | S4 --H--> S1 | S1 --H--> S1 | S2 --B--> S0 | S2 --D--> S2,
[CIFL],C F I L [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --C--> S3 | S3 --I--> S4 | S4 --F--> S5 | S5 --L--> S6 | S6 --]--> S1,
(?:(?:H+D+)F+|IHF+|B*L+|G*G+|J*),,,,,Línea 907: ValueError: '?' inválido.
E*F?E+K*,E F K,S4 S2 S1,S0 S1 S2 S3 S4,S4 --E--> S4 | S4 --F--> S0 | S4 --K--> S1 | S3 --E--> S4 | S3 --F--> S0 | S0 --E--> S2 | S2 --E--> S2 | S2 --K--> S1 | S1 --K--> S1,
(?:(?:F*KI+)B?I?A)D*,,,,,Línea 909: ValueError: '?' inválido.
(?:FE|J)EGDI+B?G?,,,,,Línea 910: ValueError: '?' inválido.
(?:(?:(?:B*|L*)C*)L+L*),,,,,Línea 911: ValueError: '?' inválido.
[LBEICK]+,B C E I K L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --L--> S2 | S2 --B--> S3 | S3 --E--> S4 | S4 --I--> S5 | S5 --C--> S6 | S6 --K--> S7 | S7 --]--> S8 | S8 --]--> S8,
C+DI|H+,C D H I,S1 S4,S0 S1 S2 S3 S4,S3 --C--> S3 | S3 --D--> S0 | S2 --C--> S3 | S2 --H--> S4 | S0 --I--> S1 | S4 --H--> S4,
II|CF,C F I,S1 S3,S0 S1 S2 S3 S4,S4 --C--> S2 | S4 --I--> S0 | S0 --I--> S1 | S2 --F--> S3,
(?:H?I+L*),,,,,Línea 915: ValueError: '?' inválido.
[FLBJA]+,A B F J L [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --F--> S2 | S2 --L--> S3 | S3 --B--> S4 | S4 --J--> S5 | S5 --A--> S6 | S6 --]--> S7 | S7 --]--> S7,
B*G*G+,B G,S2,S0 S1 S2,S0 --B--> S0 | S0 --G--> S2 | S1 --B--> S0 | S1 --G--> S2 | S2 --G--> S2,
D+|IE+|J?L?GG+,D E G I J L,S4 S5 S3,S0 S1 S2 S3 S4 S5 S6 S7,S4 --D--> S4 | S7 --D--> S4 | S7 --G--> S1 | S7 --I--> S0 | S7 --J--> S6 | S7 --L--> S2 | S0 --E--> S5 | S5 --E--> S5 | S6 --G--> S1 | S6 --L--> S2 | S2 --G--> S1 | S1 --G--> S3 | S3 --G--> S3,
[FJKDLH]+,D F H J K L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --F--> S2 | S2 --J--> S3 | S3 --K--> S4 | S4 --D--> S5 | S5 --L--> S6 | S6 --H--> S7 | S7 --]--> S8 | S8 --]--> S8,
[KDHAFC],A C D F H K [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --K--> S3 | S3 --D--> S4 | S4 --H--> S5 | S5 --A--> S6 | S6 --F--> S7 | S7 --C--> S8 | S8 --]--> S1,
D?|BJ?I+|E+H?|J+H,B D E H I J,S8 S3 S6 S7 S2 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S8 --B--> S5 | S8 --D--> S3 | S8 --E--> S7 | S8 --J--> S4 | S5 --I--> S6 | S5 --J--> S1 | S1 --I--> S6 | S6 --I--> S6 | S7 --E--> S7 | S7 --H--> S2 | S4 --H--> S0 | S4 --J--> S4,
[FJDEA]*,A D E F J [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --F--> S2 | S2 --J--> S3 | S3 --D--> S4 | S4 --E--> S5 | S5 --A--> S7 | S7 --]--> S6 | S6 --]--> S6,
(?:A|DB?I+C*G?|J?)J+H?|B?K*,,,,,Línea 923: ValueError: '?' inválido.
(?:(?:B+J?G?)E?B*|B?)F?L?K*,,,,,Línea 924: ValueError: '?' inválido.
[DFH],D F H [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --D--> S3 | S3 --F--> S4 | S4 --H--> S5 | S5 --]--> S1,
(?:E*G*B*|HA+|GH*)E+D*C|I?,,,,,Línea 926: ValueError: '?' inválido.
(?:DE?J+)H|IA*,,,,,Línea 927: ValueError: '?' inválido.
(?:(?:(?:(?:K*J)D|C?)C+)FD?|K?K)C*,,,,,Línea 928: ValueError: '?' inválido.
[JDC]*,C D J [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --J--> S2 | S2 --D--> S3 | S3 --C--> S5 | S5 --]--> S4 | S4 --]--> S4,
[KCDLGH]*,C D G H K L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --K--> S2 | S2 --C--> S3 | S3 --D--> S4 | S4 --L--> S5 | S5 --G--> S6 | S6 --H--> S8 | S8 --]--> S7 | S7 --]--> S7,
LD+|J?G+|I?,D G I J L,S5 S3 S4 S2,S0 S1 S2 S3 S4 S5,S5 --G--> S4 | S5 --I--> S2 | S5 --J--> S1 | S5 --L--> S0 | S0 --D--> S3 | S3 --D--> S3 | S1 --G--> S4 | S4 --G--> S4,
D*E*K*|E+J?,D E J K,S3 S4 S5 S2 S1 S0,S0 S1 S2 S3 S4 S5,S3 --D--> S3 | S3 --E--> S2 | S3 --K--> S1 | S4 --D--> S3 | S4 --E--> S5 | S4 --K--> S1 | S5 --E--> S5 | S5 --J--> S0 | S5 --K--> S1 | S2 --E--> S2 | S2 --K--> S1 | S1 --K--> S1,
(?:K*G+|I*)D?E?,,,,,Línea 933: ValueError: '?' inválido.
[FAJ]*,A F J [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --F--> S2 | S2 --A--> S3 | S3 --J--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:I?E?LG|E+)K+,,,,,Línea 935: ValueError: '?' inválido.
(?:(?:E+|F+)IC+|B*B?)F,,,,,Línea 936: ValueError: '?' inválido.
L?G+E?,E G L,S3 S0,S0 S1 S2 S3,S2 --G--> S3 | S2 --L--> S1 | S1 --G--> S3 | S3 --E--> S0 | S3 --G--> S3,
[GDKFE],D E F G K [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --G--> S3 | S3 --D--> S4 | S4 --K--> S5 | S5 --F--> S6 | S6 --E--> S7 | S7 --]--> S1,
[KIGBCF]+,B C F G I K [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --K--> S2 | S2 --I--> S3 | S3 --G--> S4 | S4 --B--> S5 | S5 --C--> S6 | S6 --F--> S7 | S7 --]--> S8 | S8 --]--> S8,
[JIEHDL]*,D E H I J L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --J--> S2 | S2 --I--> S3 | S3 --E--> S4 | S4 --H--> S5 | S5 --D--> S6 | S6 --L--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:K+)B+H?A*C+K*,,,,,Línea 941: ValueError: '?' inválido.
(?:(?:L+)F+|F+I*C|A?K*),,,,,Línea 942: ValueError: '?' inválido.
H+FI*C|K*G+|I+J,C F G H I J K,S1 S7 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S4 --F--> S5 | S4 --H--> S4 | S8 --G--> S7 | S8 --H--> S4 | S8 --I--> S6 | S8 --K--> S3 | S5 --C--> S1 | S5 --I--> S2 | S2 --C--> S1 | S2 --I--> S2 | S3 --G--> S7 | S3 --K--> S3 | S7 --G--> S7 | S6 --I--> S6 | S6 --J--> S0,
[GDJKEF]*,D E F G J K [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --G--> S2 | S2 --D--> S3 | S3 --J--> S4 | S4 --K--> S5 | S5 --E--> S6 | S6 --F--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:E?H*J|D?)L*,,,,,Línea 945: ValueError: '?' inválido.
[HFEGLJ],E F G H J L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --H--> S3 | S3 --F--> S4 | S4 --E--> S5 | S5 --G--> S6 | S6 --L--> S7 | S7 --J--> S8 | S8 --]--> S1,
[DGJ]*,D G J [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --D--> S2 | S2 --G--> S3 | S3 --J--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:(?:(?:GG+H+)J|KJ+J?|F*)E|F+B+|K*),,,,,Línea 948: ValueError: '?' inválido.
[HCDG]?,C D G H [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --H--> S2 | S2 --C--> S3 | S3 --D--> S4 | S4 --G--> S6 | S6 --]--> S5,
[KGL]+,G K L [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --K--> S2 | S2 --G--> S3 | S3 --L--> S4 | S4 --]--> S5 | S5 --]--> S5,
[CGDHKA]+,A C D G H K [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --C--> S2 | S2 --G--> S3 | S3 --D--> S4 | S4 --H--> S5 | S5 --K--> S6 | S6 --A--> S7 | S7 --]--> S8 | S8 --]--> S8,
(?:(?:(?:(?:J?C?)AA|H+A*)K?|G*)A*|F*)H*,,,,,Línea 952: ValueError: '?' inválido.
[EFBILJ]*,B E F I J L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --E--> S2 | S2 --F--> S3 | S3 --B--> S4 | S4 --I--> S5 | S5 --L--> S6 | S6 --J--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:(?:FG+)G*|F+)E*,,,,,Línea 954: ValueError: '?' inválido.
(?:(?:H+)K+)DK*H+,,,,,Línea 955: ValueError: '?' inválido.
[KEFHLA]*,A E F H K L [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --K--> S2 | S2 --E--> S3 | S3 --F--> S4 | S4 --H--> S5 | S5 --L--> S6 | S6 --A--> S8 | S8 --]--> S7 | S7 --]--> S7,
(?:(?:H+|H+H+|A?)I|H*)L|I*I+|J,,,,,Línea 957: ValueError: '?' inválido.
I*|D*I*EDE*A*,A D E I,S5 S7 S6 S4 S2,S0 S1 S2 S3 S4 S5 S6 S7,S5 --E--> S0 | S5 --I--> S5 | S7 --D--> S3 | S7 --E--> S0 | S7 --I--> S5 | S3 --D--> S3 | S3 --E--> S0 | S3 --I--> S1 | S1 --E--> S0 | S1 --I--> S1 | S0 --D--> S6 | S6 --A--> S2 | S6 --E--> S4 | S4 --A--> S2 | S4 --E--> S4 | S2 --A--> S2,
(?:F+|C*A?E*L+|A?K)C?|GD*H+|F*,,,,,Línea 959: ValueError: '?' inválido.
(?:IHK*K?AH|H+F?)I?,,,,,Línea 960: ValueError: '?' inválido.
B|D+I+|C*G+G?I+A|I?I?,A B C D G I,S10 S2 S6 S0 S7 S1,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S10 --B--> S2 | S10 --C--> S3 | S10 --D--> S4 | S10 --G--> S8 | S10 --I--> S7 | S4 --D--> S4 | S4 --I--> S6 | S6 --I--> S6 | S3 --C--> S3 | S3 --G--> S8 | S9 --G--> S9 | S9 --I--> S5 | S8 --G--> S9 | S8 --I--> S5 | S5 --A--> S0 | S5 --I--> S5 | S7 --I--> S1,
(?:A*|H?E+C?|D*J+C?|G),,,,,Línea 962: ValueError: '?' inválido.
[EBD]+,B D E [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --E--> S2 | S2 --B--> S3 | S3 --D--> S4 | S4 --]--> S5 | S5 --]--> S5,
[KGB]*,B G K [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --K--> S2 | S2 --G--> S3 | S3 --B--> S5 | S5 --]--> S4 | S4 --]--> S4,
(?:G?E+D+)IEC?L?K,,,,,Línea 965: ValueError: '?' inválido.
[KIBGE]+,B E G I K [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --K--> S2 | S2 --I--> S3 | S3 --B--> S4 | S4 --G--> S5 | S5 --E--> S6 | S6 --]--> S7 | S7 --]--> S7,
(?:(?:D)D+L*)D*|F*E?K*D+H+,,,,,Línea 967: ValueError: '?' inválido.
(?:(?:A*|F*A+L*|H*)L?A*E?|C),,,,,Línea 968: ValueError: '?' inválido.
