Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
((I|A|C|E)*D)*,A C D E I,S2 S3,S0 S1 S2 S3 S4 S5,S4 --A--> S5 | S4 --C--> S1 | S4 --D--> S2 | S4 --E--> S0 | S4 --I--> S4 | S5 --A--> S5 | S5 --C--> S1 | S5 --D--> S2 | S5 --E--> S0 | S5 --I--> S4 | S1 --A--> S5 | S1 --C--> S1 | S1 --D--> S2 | S1 --E--> S0 | S1 --I--> S4 | S0 --A--> S5 | S0 --C--> S1 | S0 --D--> S2 | S0 --E--> S0 | S0 --I--> S4 | S2 --A--> S5 | S2 --C--> S1 | S2 --D--> S2 | S2 --E--> S0 | S2 --I--> S4 | S3 --A--> S5 | S3 --C--> S1 | S3 --D--> S2 | S3 --E--> S0 | S3 --I--> S4,
(G|E|K)*E((J|K|H)),E G H J K,S5 S1 S0,S0 S1 S2 S3 S4 S5 S6,S4 --E--> S6 | S4 --G--> S4 | S4 --K--> S3 | S6 --E--> S6 | S6 --G--> S4 | S6 --H--> S0 | S6 --J--> S1 | S6 --K--> S5 | S3 --E--> S6 | S3 --G--> S4 | S3 --K--> S3 | S5 --E--> S6 | S5 --G--> S4 | S5 --K--> S3 | S2 --E--> S6 | S2 --G--> S4 | S2 --K--> S3,
(K|B|D)+K,B D K,S4,S0 S1 S2 S3 S4,S2 --B--> S3 | S2 --D--> S1 | S2 --K--> S4 | S4 --B--> S3 | S4 --D--> S1 | S4 --K--> S4 | S3 --B--> S3 | S3 --D--> S1 | S3 --K--> S4 | S1 --B--> S3 | S1 --D--> S1 | S1 --K--> S4 | S0 --B--> S3 | S0 --D--> S1 | S0 --K--> S2,
(G|H|B|I)*G((C|I)),B C G H I,S5 S0,S0 S1 S2 S3 S4 S5 S6,S6 --B--> S3 | S6 --C--> S0 | S6 --G--> S6 | S6 --H--> S4 | S6 --I--> S5 | S4 --B--> S3 | S4 --G--> S6 | S4 --H--> S4 | S4 --I--> S2 | S3 --B--> S3 | S3 --G--> S6 | S3 --H--> S4 | S3 --I--> S2 | S2 --B--> S3 | S2 --G--> S6 | S2 --H--> S4 | S2 --I--> S2 | S5 --B--> S3 | S5 --G--> S6 | S5 --H--> S4 | S5 --I--> S2 | S1 --B--> S3 | S1 --G--> S6 | S1 --H--> S4 | S1 --I--> S2,
(J|I)*L((K|F)),F I J K L,S0 S1,S0 S1 S2 S3 S4 S5,S4 --I--> S5 | S4 --J--> S4 | S4 --L--> S2 | S5 --I--> S5 | S5 --J--> S4 | S5 --L--> S2 | S3 --I--> S5 | S3 --J--> S4 | S3 --L--> S2 | S2 --F--> S1 | S2 --K--> S0,
(B|D|G|H)*F((J|F)),B D F G H J,S0 S1,S0 S1 S2 S3 S4 S5 S6 S7,S6 --B--> S6 | S6 --D--> S7 | S6 --F--> S2 | S6 --G--> S5 | S6 --H--> S4 | S7 --B--> S6 | S7 --D--> S7 | S7 --F--> S2 | S7 --G--> S5 | S7 --H--> S4 | S5 --B--> S6 | S5 --D--> S7 | S5 --F--> S2 | S5 --G--> S5 | S5 --H--> S4 | S4 --B--> S6 | S4 --D--> S7 | S4 --F--> S2 | S4 --G--> S5 | S4 --H--> S4 | S3 --B--> S6 | S3 --D--> S7 | S3 --F--> S2 | S3 --G--> S5 | S3 --H--> S4 | S2 --F--> S1 | S2 --J--> S0,
(E|A)+E,A E,S3,S0 S1 S2 S3,S1 --A--> S2 | S1 --E--> S3 | S3 --A--> S2 | S3 --E--> S3 | S2 --A--> S2 | S2 --E--> S3 | S0 --A--> S2 | S0 --E--> S1,
K(K|A|B|E)*J,A B E J K,S1,S0 S1 S2 S3 S4 S5 S6,S0 --K--> S2 | S2 --A--> S6 | S2 --B--> S4 | S2 --E--> S3 | S2 --J--> S1 | S2 --K--> S5 | S5 --A--> S6 | S5 --B--> S4 | S5 --E--> S3 | S5 --J--> S1 | S5 --K--> S5 | S6 --A--> S6 | S6 --B--> S4 | S6 --E--> S3 | S6 --J--> S1 | S6 --K--> S5 | S4 --A--> S6 | S4 --B--> S4 | S4 --E--> S3 | S4 --J--> S1 | S4 --K--> S5 | S3 --A--> S6 | S3 --B--> S4 | S3 --E--> S3 | S3 --J--> S1 | S3 --K--> S5,
(G|J)*,G J,S1 S2 S0,S0 S1 S2,S1 --G--> S1 | S1 --J--> S2 | S2 --G--> S1 | S2 --J--> S2 | S0 --G--> S1 | S0 --J--> S2,
(B|E)+B,B E,S3,S0 S1 S2 S3,S1 --B--> S3 | S1 --E--> S2 | S3 --B--> S3 | S3 --E--> S2 | S2 --B--> S3 | S2 --E--> S2 | S0 --B--> S1 | S0 --E--> S2,
A(D|L|K)*A,A D K L,S1,S0 S1 S2 S3 S4 S5,S0 --A--> S2 | S2 --A--> S1 | S2 --D--> S4 | S2 --K--> S3 | S2 --L--> S5 | S4 --A--> S1 | S4 --D--> S4 | S4 --K--> S3 | S4 --L--> S5 | S5 --A--> S1 | S5 --D--> S4 | S5 --K--> S3 | S5 --L--> S5 | S3 --A--> S1 | S3 --D--> S4 | S3 --K--> S3 | S3 --L--> S5,
(E|F)*,E F,S1 S2 S0,S0 S1 S2,S1 --E--> S1 | S1 --F--> S2 | S2 --E--> S1 | S2 --F--> S2 | S0 --E--> S1 | S0 --F--> S2,
(D|F|B|G)*,B D F G,S3 S4 S2 S1 S0,S0 S1 S2 S3 S4,S3 --B--> S2 | S3 --D--> S3 | S3 --F--> S4 | S3 --G--> S1 | S4 --B--> S2 | S4 --D--> S3 | S4 --F--> S4 | S4 --G--> S1 | S2 --B--> S2 | S2 --D--> S3 | S2 --F--> S4 | S2 --G--> S1 | S1 --B--> S2 | S1 --D--> S3 | S1 --F--> S4 | S1 --G--> S1 | S0 --B--> S2 | S0 --D--> S3 | S0 --F--> S4 | S0 --G--> S1,
(A|G|K)*DKI,A D G I K,S0,S0 S1 S2 S3 S4 S5 S6,S5 --A--> S5 | S5 --D--> S1 | S5 --G--> S6 | S5 --K--> S4 | S6 --A--> S5 | S6 --D--> S1 | S6 --G--> S6 | S6 --K--> S4 | S4 --A--> S5 | S4 --D--> S1 | S4 --G--> S6 | S4 --K--> S4 | S3 --A--> S5 | S3 --D--> S1 | S3 --G--> S6 | S3 --K--> S4 | S1 --K--> S2 | S2 --I--> S0,
B(I|F)*I,B F I,S3,S0 S1 S2 S3,S0 --B--> S1 | S1 --F--> S2 | S1 --I--> S3 | S3 --F--> S2 | S3 --I--> S3 | S2 --F--> S2 | S2 --I--> S3,
((I|C|J)*I((J|C|D)))*,C D I J,S5 S4 S3 S2,S0 S1 S2 S3 S4 S5 S6,S6 --C--> S5 | S6 --D--> S3 | S6 --I--> S6 | S6 --J--> S4 | S5 --C--> S1 | S5 --I--> S6 | S5 --J--> S0 | S1 --C--> S1 | S1 --I--> S6 | S1 --J--> S0 | S4 --C--> S1 | S4 --I--> S6 | S4 --J--> S0 | S0 --C--> S1 | S0 --I--> S6 | S0 --J--> S0 | S3 --C--> S1 | S3 --I--> S6 | S3 --J--> S0 | S2 --C--> S1 | S2 --I--> S6 | S2 --J--> S0,
((J|A|H|F)*L((I|A)))*,A F H I J L,S6 S7 S3,S0 S1 S2 S3 S4 S5 S6 S7,S4 --A--> S5 | S4 --F--> S1 | S4 --H--> S2 | S4 --J--> S4 | S4 --L--> S0 | S5 --A--> S5 | S5 --F--> S1 | S5 --H--> S2 | S5 --J--> S4 | S5 --L--> S0 | S2 --A--> S5 | S2 --F--> S1 | S2 --H--> S2 | S2 --J--> S4 | S2 --L--> S0 | S1 --A--> S5 | S1 --F--> S1 | S1 --H--> S2 | S1 --J--> S4 | S1 --L--> S0 | S6 --A--> S5 | S6 --F--> S1 | S6 --H--> S2 | S6 --J--> S4 | S6 --L--> S0 | S7 --A--> S5 | S7 --F--> S1 | S7 --H--> S2 | S7 --J--> S4 | S7 --L--> S0 | S3 --A--> S5 | S3 --F--> S1 | S3 --H--> S2 | S3 --J--> S4 | S3 --L--> S0 | S0 --A--> S7 | S0 --I--> S6,
(H|C|E|A)*,A C E H,S3 S4 S2 S1 S0,S0 S1 S2 S3 S4,S3 --A--> S1 | S3 --C--> S4 | S3 --E--> S2 | S3 --H--> S3 | S4 --A--> S1 | S4 --C--> S4 | S4 --E--> S2 | S4 --H--> S3 | S2 --A--> S1 | S2 --C--> S4 | S2 --E--> S2 | S2 --H--> S3 | S1 --A--> S1 | S1 --C--> S4 | S1 --E--> S2 | S1 --H--> S3 | S0 --A--> S1 | S0 --C--> S4 | S0 --E--> S2 | S0 --H--> S3,
E(J|L|H|A)*F,A E F H J L,S1,S0 S1 S2 S3 S4 S5 S6,S0 --E--> S2 | S2 --A--> S3 | S2 --F--> S1 | S2 --H--> S4 | S2 --J--> S5 | S2 --L--> S6 | S5 --A--> S3 | S5 --F--> S1 | S5 --H--> S4 | S5 --J--> S5 | S5 --L--> S6 | S6 --A--> S3 | S6 --F--> S1 | S6 --H--> S4 | S6 --J--> S5 | S6 --L--> S6 | S4 --A--> S3 | S4 --F--> S1 | S4 --H--> S4 | S4 --J--> S5 | S4 --L--> S6 | S3 --A--> S3 | S3 --F--> S1 | S3 --H--> S4 | S3 --J--> S5 | S3 --L--> S6,
(F|C)*J,C F J,S0,S0 S1 S2 S3,S2 --C--> S3 | S2 --F--> S2 | S2 --J--> S0 | S3 --C--> S3 | S3 --F--> S2 | S3 --J--> S0 | S1 --C--> S3 | S1 --F--> S2 | S1 --J--> S0,
((B|E|K|J)*L((J|C)))*,B C E J K L,S6 S7 S3,S0 S1 S2 S3 S4 S5 S6 S7,S4 --B--> S4 | S4 --E--> S5 | S4 --J--> S1 | S4 --K--> S2 | S4 --L--> S0 | S5 --B--> S4 | S5 --E--> S5 | S5 --J--> S1 | S5 --K--> S2 | S5 --L--> S0 | S2 --B--> S4 | S2 --E--> S5 | S2 --J--> S1 | S2 --K--> S2 | S2 --L--> S0 | S1 --B--> S4 | S1 --E--> S5 | S1 --J--> S1 | S1 --K--> S2 | S1 --L--> S0 | S6 --B--> S4 | S6 --E--> S5 | S6 --J--> S1 | S6 --K--> S2 | S6 --L--> S0 | S7 --B--> S4 | S7 --E--> S5 | S7 --J--> S1 | S7 --K--> S2 | S7 --L--> S0 | S3 --B--> S4 | S3 --E--> S5 | S3 --J--> S1 | S3 --K--> S2 | S3 --L--> S0 | S0 --C--> S7 | S0 --J--> S6,
(C|J|F)+B,B C F J,S0,S0 S1 S2 S3 S4,S3 --B--> S0 | S3 --C--> S3 | S3 --F--> S2 | S3 --J--> S4 | S4 --B--> S0 | S4 --C--> S3 | S4 --F--> S2 | S4 --J--> S4 | S2 --B--> S0 | S2 --C--> S3 | S2 --F--> S2 | S2 --J--> S4 | S1 --C--> S3 | S1 --F--> S2 | S1 --J--> S4,
(A|D|C)*C,A C D,S3,S0 S1 S2 S3,S1 --A--> S1 | S1 --C--> S3 | S1 --D--> S2 | S2 --A--> S1 | S2 --C--> S3 | S2 --D--> S2 | S3 --A--> S1 | S3 --C--> S3 | S3 --D--> S2 | S0 --A--> S1 | S0 --C--> S3 | S0 --D--> S2,
(D|K|C)*A,A C D K,S0,S0 S1 S2 S3 S4,S3 --A--> S0 | S3 --C--> S2 | S3 --D--> S3 | S3 --K--> S4 | S4 --A--> S0 | S4 --C--> S2 | S4 --D--> S3 | S4 --K--> S4 | S2 --A--> S0 | S2 --C--> S2 | S2 --D--> S3 | S2 --K--> S4 | S1 --A--> S0 | S1 --C--> S2 | S1 --D--> S3 | S1 --K--> S4,
(L|A)*LCL,A C L,S0,S0 S1 S2 S3 S4,S4 --A--> S3 | S4 --C--> S1 | S4 --L--> S4 | S3 --A--> S3 | S3 --L--> S4 | S2 --A--> S3 | S2 --L--> S4 | S1 --L--> S0,
(I|C|F)*,C F I,S2 S3 S1 S0,S0 S1 S2 S3,S2 --C--> S3 | S2 --F--> S1 | S2 --I--> S2 | S3 --C--> S3 | S3 --F--> S1 | S3 --I--> S2 | S1 --C--> S3 | S1 --F--> S1 | S1 --I--> S2 | S0 --C--> S3 | S0 --F--> S1 | S0 --I--> S2,
(F|C|K)*,C F K,S2 S3 S1 S0,S0 S1 S2 S3,S2 --C--> S3 | S2 --F--> S2 | S2 --K--> S1 | S3 --C--> S3 | S3 --F--> S2 | S3 --K--> S1 | S1 --C--> S3 | S1 --F--> S2 | S1 --K--> S1 | S0 --C--> S3 | S0 --F--> S2 | S0 --K--> S1,
K(H|B|I|D)*B,B D H I K,S5,S0 S1 S2 S3 S4 S5,S0 --K--> S1 | S1 --B--> S5 | S1 --D--> S2 | S1 --H--> S4 | S1 --I--> S3 | S4 --B--> S5 | S4 --D--> S2 | S4 --H--> S4 | S4 --I--> S3 | S5 --B--> S5 | S5 --D--> S2 | S5 --H--> S4 | S5 --I--> S3 | S3 --B--> S5 | S3 --D--> S2 | S3 --H--> S4 | S3 --I--> S3 | S2 --B--> S5 | S2 --D--> S2 | S2 --H--> S4 | S2 --I--> S3,
((G|J|D)*C((F|K|B|C)))*,B C D F G J K,S7 S8 S6 S5 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S2 --C--> S0 | S2 --D--> S1 | S2 --G--> S2 | S2 --J--> S3 | S3 --C--> S0 | S3 --D--> S1 | S3 --G--> S2 | S3 --J--> S3 | S1 --C--> S0 | S1 --D--> S1 | S1 --G--> S2 | S1 --J--> S3 | S7 --C--> S0 | S7 --D--> S1 | S7 --G--> S2 | S7 --J--> S3 | S8 --C--> S0 | S8 --D--> S1 | S8 --G--> S2 | S8 --J--> S3 | S6 --C--> S0 | S6 --D--> S1 | S6 --G--> S2 | S6 --J--> S3 | S5 --C--> S0 | S5 --D--> S1 | S5 --G--> S2 | S5 --J--> S3 | S4 --C--> S0 | S4 --D--> S1 | S4 --G--> S2 | S4 --J--> S3 | S0 --B--> S6 | S0 --C--> S5 | S0 --F--> S7 | S0 --K--> S8,
(G|K)*C,C G K,S0,S0 S1 S2 S3,S2 --C--> S0 | S2 --G--> S2 | S2 --K--> S3 | S3 --C--> S0 | S3 --G--> S2 | S3 --K--> S3 | S1 --C--> S0 | S1 --G--> S2 | S1 --K--> S3,
((B|G|I|D)*B)*,B D G I,S4 S2,S0 S1 S2 S3 S4,S4 --B--> S4 | S4 --D--> S0 | S4 --G--> S3 | S4 --I--> S1 | S3 --B--> S4 | S3 --D--> S0 | S3 --G--> S3 | S3 --I--> S1 | S1 --B--> S4 | S1 --D--> S0 | S1 --G--> S3 | S1 --I--> S1 | S0 --B--> S4 | S0 --D--> S0 | S0 --G--> S3 | S0 --I--> S1 | S2 --B--> S4 | S2 --D--> S0 | S2 --G--> S3 | S2 --I--> S1,
(B|J)+I,B I J,S0,S0 S1 S2 S3,S2 --B--> S2 | S2 --I--> S0 | S2 --J--> S3 | S3 --B--> S2 | S3 --I--> S0 | S3 --J--> S3 | S1 --B--> S2 | S1 --J--> S3,
(L|A|K|E)+A,A E K L,S5,S0 S1 S2 S3 S4 S5,S3 --A--> S5 | S3 --E--> S1 | S3 --K--> S2 | S3 --L--> S3 | S4 --A--> S5 | S4 --E--> S1 | S4 --K--> S2 | S4 --L--> S3 | S5 --A--> S5 | S5 --E--> S1 | S5 --K--> S2 | S5 --L--> S3 | S2 --A--> S5 | S2 --E--> S1 | S2 --K--> S2 | S2 --L--> S3 | S1 --A--> S5 | S1 --E--> S1 | S1 --K--> S2 | S1 --L--> S3 | S0 --A--> S4 | S0 --E--> S1 | S0 --K--> S2 | S0 --L--> S3,
(J|K)*J((J|I)),I J K,S4 S0,S0 S1 S2 S3 S4,S4 --I--> S0 | S4 --J--> S4 | S4 --K--> S2 | S3 --I--> S0 | S3 --J--> S4 | S3 --K--> S2 | S2 --J--> S3 | S2 --K--> S2 | S1 --J--> S3 | S1 --K--> S2,
(G|L)+I,G I L,S0,S0 S1 S2 S3,S2 --G--> S2 | S2 --I--> S0 | S2 --L--> S3 | S3 --G--> S2 | S3 --I--> S0 | S3 --L--> S3 | S1 --G--> S2 | S1 --L--> S3,
(F|B|J|D)+F,B D F J,S5,S0 S1 S2 S3 S4 S5,S3 --B--> S4 | S3 --D--> S1 | S3 --F--> S5 | S3 --J--> S2 | S5 --B--> S4 | S5 --D--> S1 | S5 --F--> S5 | S5 --J--> S2 | S4 --B--> S4 | S4 --D--> S1 | S4 --F--> S5 | S4 --J--> S2 | S2 --B--> S4 | S2 --D--> S1 | S2 --F--> S5 | S2 --J--> S2 | S1 --B--> S4 | S1 --D--> S1 | S1 --F--> S5 | S1 --J--> S2 | S0 --B--> S4 | S0 --D--> S1 | S0 --F--> S3 | S0 --J--> S2,
(J|A)+C,A C J,S0,S0 S1 S2 S3,S2 --A--> S3 | S2 --C--> S0 | S2 --J--> S2 | S3 --A--> S3 | S3 --C--> S0 | S3 --J--> S2 | S1 --A--> S3 | S1 --J--> S2,
(F|J|I|G)*C((I|H|C)),C F G H I J,S1 S2 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --C--> S3 | S7 --F--> S7 | S7 --G--> S5 | S7 --I--> S6 | S7 --J--> S8 | S8 --C--> S3 | S8 --F--> S7 | S8 --G--> S5 | S8 --I--> S6 | S8 --J--> S8 | S6 --C--> S3 | S6 --F--> S7 | S6 --G--> S5 | S6 --I--> S6 | S6 --J--> S8 | S5 --C--> S3 | S5 --F--> S7 | S5 --G--> S5 | S5 --I--> S6 | S5 --J--> S8 | S4 --C--> S3 | S4 --F--> S7 | S4 --G--> S5 | S4 --I--> S6 | S4 --J--> S8 | S3 --C--> S0 | S3 --H--> S2 | S3 --I--> S1,
(H|K|J)*I((C|K|E|A)),A C E H I J K,S2 S3 S1 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --H--> S7 | S7 --I--> S5 | S7 --J--> S6 | S7 --K--> S8 | S8 --H--> S7 | S8 --I--> S5 | S8 --J--> S6 | S8 --K--> S8 | S6 --H--> S7 | S6 --I--> S5 | S6 --J--> S6 | S6 --K--> S8 | S4 --H--> S7 | S4 --I--> S5 | S4 --J--> S6 | S4 --K--> S8 | S5 --A--> S0 | S5 --C--> S2 | S5 --E--> S1 | S5 --K--> S3,
(I|L|B)*JFK,B F I J K L,S0,S0 S1 S2 S3 S4 S5 S6,S5 --B--> S4 | S5 --I--> S5 | S5 --J--> S1 | S5 --L--> S6 | S6 --B--> S4 | S6 --I--> S5 | S6 --J--> S1 | S6 --L--> S6 | S4 --B--> S4 | S4 --I--> S5 | S4 --J--> S1 | S4 --L--> S6 | S3 --B--> S4 | S3 --I--> S5 | S3 --J--> S1 | S3 --L--> S6 | S1 --F--> S2 | S2 --K--> S0,
(C|I|H)*,C H I,S2 S3 S1 S0,S0 S1 S2 S3,S2 --C--> S2 | S2 --H--> S1 | S2 --I--> S3 | S3 --C--> S2 | S3 --H--> S1 | S3 --I--> S3 | S1 --C--> S2 | S1 --H--> S1 | S1 --I--> S3 | S0 --C--> S2 | S0 --H--> S1 | S0 --I--> S3,
(L|C)*A,A C L,S0,S0 S1 S2 S3,S2 --A--> S0 | S2 --C--> S3 | S2 --L--> S2 | S3 --A--> S0 | S3 --C--> S3 | S3 --L--> S2 | S1 --A--> S0 | S1 --C--> S3 | S1 --L--> S2,
((E|C|B)*C)*,B C E,S3 S2,S0 S1 S2 S3,S1 --B--> S0 | S1 --C--> S3 | S1 --E--> S1 | S3 --B--> S0 | S3 --C--> S3 | S3 --E--> S1 | S0 --B--> S0 | S0 --C--> S3 | S0 --E--> S1 | S2 --B--> S0 | S2 --C--> S3 | S2 --E--> S1,
(J|D|H|B)+A,A B D H J,S0,S0 S1 S2 S3 S4 S5,S4 --A--> S0 | S4 --B--> S2 | S4 --D--> S5 | S4 --H--> S3 | S4 --J--> S4 | S5 --A--> S0 | S5 --B--> S2 | S5 --D--> S5 | S5 --H--> S3 | S5 --J--> S4 | S3 --A--> S0 | S3 --B--> S2 | S3 --D--> S5 | S3 --H--> S3 | S3 --J--> S4 | S2 --A--> S0 | S2 --B--> S2 | S2 --D--> S5 | S2 --H--> S3 | S2 --J--> S4 | S1 --B--> S2 | S1 --D--> S5 | S1 --H--> S3 | S1 --J--> S4,
(L|F)*A((H|D|A)),A D F H L,S1 S2 S0,S0 S1 S2 S3 S4 S5 S6,S5 --A--> S4 | S5 --F--> S6 | S5 --L--> S5 | S6 --A--> S4 | S6 --F--> S6 | S6 --L--> S5 | S3 --A--> S4 | S3 --F--> S6 | S3 --L--> S5 | S4 --A--> S0 | S4 --D--> S2 | S4 --H--> S1,
(K|I|C)*EDH,C D E H I K,S0,S0 S1 S2 S3 S4 S5 S6,S5 --C--> S4 | S5 --E--> S1 | S5 --I--> S6 | S5 --K--> S5 | S6 --C--> S4 | S6 --E--> S1 | S6 --I--> S6 | S6 --K--> S5 | S4 --C--> S4 | S4 --E--> S1 | S4 --I--> S6 | S4 --K--> S5 | S3 --C--> S4 | S3 --E--> S1 | S3 --I--> S6 | S3 --K--> S5 | S1 --D--> S2 | S2 --H--> S0,
(E|J)*J,E J,S2,S0 S1 S2,S1 --E--> S1 | S1 --J--> S2 | S2 --E--> S1 | S2 --J--> S2 | S0 --E--> S1 | S0 --J--> S2,
(F|H|A|J)*GLI,A F G H I J L,S0,S0 S1 S2 S3 S4 S5 S6 S7,S6 --A--> S5 | S6 --F--> S6 | S6 --G--> S1 | S6 --H--> S7 | S6 --J--> S4 | S7 --A--> S5 | S7 --F--> S6 | S7 --G--> S1 | S7 --H--> S7 | S7 --J--> S4 | S5 --A--> S5 | S5 --F--> S6 | S5 --G--> S1 | S5 --H--> S7 | S5 --J--> S4 | S4 --A--> S5 | S4 --F--> S6 | S4 --G--> S1 | S4 --H--> S7 | S4 --J--> S4 | S3 --A--> S5 | S3 --F--> S6 | S3 --G--> S1 | S3 --H--> S7 | S3 --J--> S4 | S1 --L--> S2 | S2 --I--> S0,
L(H|E)*H,E H L,S3,S0 S1 S2 S3,S0 --L--> S1 | S1 --E--> S2 | S1 --H--> S3 | S3 --E--> S2 | S3 --H--> S3 | S2 --E--> S2 | S2 --H--> S3,
(I|K|C|D)*B,B C D I K,S0,S0 S1 S2 S3 S4 S5,S4 --B--> S0 | S4 --C--> S3 | S4 --D--> S2 | S4 --I--> S4 | S4 --K--> S5 | S5 --B--> S0 | S5 --C--> S3 | S5 --D--> S2 | S5 --I--> S4 | S5 --K--> S5 | S3 --B--> S0 | S3 --C--> S3 | S3 --D--> S2 | S3 --I--> S4 | S3 --K--> S5 | S2 --B--> S0 | S2 --C--> S3 | S2 --D--> S2 | S2 --I--> S4 | S2 --K--> S5 | S1 --B--> S0 | S1 --C--> S3 | S1 --D--> S2 | S1 --I--> S4 | S1 --K--> S5,
(C|J|L)*HCJ,C H J L,S0,S0 S1 S2 S3 S4 S5 S6,S5 --C--> S5 | S5 --H--> S1 | S5 --J--> S6 | S5 --L--> S4 | S6 --C--> S5 | S6 --H--> S1 | S6 --J--> S6 | S6 --L--> S4 | S4 --C--> S5 | S4 --H--> S1 | S4 --J--> S6 | S4 --L--> S4 | S3 --C--> S5 | S3 --H--> S1 | S3 --J--> S6 | S3 --L--> S4 | S1 --C--> S2 | S2 --J--> S0,
(H|A|K)+H,A H K,S4,S0 S1 S2 S3 S4,S2 --A--> S3 | S2 --H--> S4 | S2 --K--> S1 | S4 --A--> S3 | S4 --H--> S4 | S4 --K--> S1 | S3 --A--> S3 | S3 --H--> S4 | S3 --K--> S1 | S1 --A--> S3 | S1 --H--> S4 | S1 --K--> S1 | S0 --A--> S3 | S0 --H--> S2 | S0 --K--> S1,
(C|E|G)+D,C D E G,S0,S0 S1 S2 S3 S4,S3 --C--> S3 | S3 --D--> S0 | S3 --E--> S4 | S3 --G--> S2 | S4 --C--> S3 | S4 --D--> S0 | S4 --E--> S4 | S4 --G--> S2 | S2 --C--> S3 | S2 --D--> S0 | S2 --E--> S4 | S2 --G--> S2 | S1 --C--> S3 | S1 --E--> S4 | S1 --G--> S2,
(D|K)*GDE,D E G K,S0,S0 S1 S2 S3 S4 S5,S4 --D--> S4 | S4 --G--> S1 | S4 --K--> S5 | S5 --D--> S4 | S5 --G--> S1 | S5 --K--> S5 | S3 --D--> S4 | S3 --G--> S1 | S3 --K--> S5 | S1 --D--> S2 | S2 --E--> S0,
(E|K|G)*J,E G J K,S0,S0 S1 S2 S3 S4,S3 --E--> S3 | S3 --G--> S2 | S3 --J--> S0 | S3 --K--> S4 | S4 --E--> S3 | S4 --G--> S2 | S4 --J--> S0 | S4 --K--> S4 | S2 --E--> S3 | S2 --G--> S2 | S2 --J--> S0 | S2 --K--> S4 | S1 --E--> S3 | S1 --G--> S2 | S1 --J--> S0 | S1 --K--> S4,
(I|F|A|B)*,A B F I,S3 S4 S2 S1 S0,S0 S1 S2 S3 S4,S3 --A--> S2 | S3 --B--> S1 | S3 --F--> S4 | S3 --I--> S3 | S4 --A--> S2 | S4 --B--> S1 | S4 --F--> S4 | S4 --I--> S3 | S2 --A--> S2 | S2 --B--> S1 | S2 --F--> S4 | S2 --I--> S3 | S1 --A--> S2 | S1 --B--> S1 | S1 --F--> S4 | S1 --I--> S3 | S0 --A--> S2 | S0 --B--> S1 | S0 --F--> S4 | S0 --I--> S3,
(D|G)+C,C D G,S0,S0 S1 S2 S3,S2 --C--> S0 | S2 --D--> S2 | S2 --G--> S3 | S3 --C--> S0 | S3 --D--> S2 | S3 --G--> S3 | S1 --D--> S2 | S1 --G--> S3,
((G|B)*L)*,B G L,S2 S3,S0 S1 S2 S3,S0 --B--> S1 | S0 --G--> S0 | S0 --L--> S2 | S1 --B--> S1 | S1 --G--> S0 | S1 --L--> S2 | S2 --B--> S1 | S2 --G--> S0 | S2 --L--> S2 | S3 --B--> S1 | S3 --G--> S0 | S3 --L--> S2,
(A|K|C)+G,A C G K,S0,S0 S1 S2 S3 S4,S3 --A--> S3 | S3 --C--> S2 | S3 --G--> S0 | S3 --K--> S4 | S4 --A--> S3 | S4 --C--> S2 | S4 --G--> S0 | S4 --K--> S4 | S2 --A--> S3 | S2 --C--> S2 | S2 --G--> S0 | S2 --K--> S4 | S1 --A--> S3 | S1 --C--> S2 | S1 --K--> S4,
(J|L|I)*C((A|L)),A C I J L,S0 S1,S0 S1 S2 S3 S4 S5 S6,S5 --C--> S2 | S5 --I--> S4 | S5 --J--> S5 | S5 --L--> S6 | S6 --C--> S2 | S6 --I--> S4 | S6 --J--> S5 | S6 --L--> S6 | S4 --C--> S2 | S4 --I--> S4 | S4 --J--> S5 | S4 --L--> S6 | S3 --C--> S2 | S3 --I--> S4 | S3 --J--> S5 | S3 --L--> S6 | S2 --A--> S0 | S2 --L--> S1,
(E|K|G)*,E G K,S2 S3 S1 S0,S0 S1 S2 S3,S2 --E--> S2 | S2 --G--> S1 | S2 --K--> S3 | S3 --E--> S2 | S3 --G--> S1 | S3 --K--> S3 | S1 --E--> S2 | S1 --G--> S1 | S1 --K--> S3 | S0 --E--> S2 | S0 --G--> S1 | S0 --K--> S3,
(I|D|J)*KKD,D I J K,S0,S0 S1 S2 S3 S4 S5 S6,S5 --D--> S6 | S5 --I--> S5 | S5 --J--> S4 | S5 --K--> S1 | S6 --D--> S6 | S6 --I--> S5 | S6 --J--> S4 | S6 --K--> S1 | S4 --D--> S6 | S4 --I--> S5 | S4 --J--> S4 | S4 --K--> S1 | S3 --D--> S6 | S3 --I--> S5 | S3 --J--> S4 | S3 --K--> S1 | S1 --K--> S2 | S2 --D--> S0,
